"ID","NAME","TYPE","MAJORS__C","INDUSTRIES__C","ACCTNUMBER__C"
"0017000000Neol7AAB","Diconex","Customer","false","","4935"
"0017000000Neol8AAB","Thales Electron Devices","Customer","false","","9035"
"0017000000Neol9AAB","Syrlinks","Customer","false","","9138"
"0017000000NeonUAAR","Kathrein France","Customer","false","","9173"
"0017000000NeonVAAR","Synchrotron Soleil","Customer","false","","9213"
"0017000000NeoneAAB","Kathrein-Werke KG (Rosenheim)","Customer","false","","2398"
"0017000000NeopGAAR","Thales Research and Technology - FR Q25418","Customer","false","","9352"
"0017000000Nf0uoAAB","Panasonic System Networks Co., Ltd.","Customer","false","","9432"
"0017000000Nf0z5AAB","Bee Technologies Co.,Ltd.","Ex-Customer","false","","9437"
"0017000000Nf9HeAAJ","STMicroelectronics IP Design Center (Helsinki)","Out of Business","false","",""
"0017000000NfAx4AAF","Novero GmbH","Customer","false","","9475"
"0017000000NfBGPAA3","MODECH INC.","Ex-Customer","false","","9396"
"0017000000NfBHqAAN","Wave Technology Inc.","Customer","false","","9093"
"0017000000NfKtOAAV","Kai Sensors","Prospect","false","",""
"0017000000NfM5qAAF","Panasonic Corporation - R&D Center, Energy System Dept. Eco-Solutions Company","Customer","false","","7482"
"0017000000NfMuqAAF","Panasonic Corporation - Automotive Systems Company Business Development Center","Customer","false","","5655"
"0017000000NfNxrAAF","Silicide A/S","No Maintenance","false","","8451"
"0017000000NfNy6AAF","Teleste Corporation - Headquarters","Customer","false","","8468"
"0017000000NfNy7AAF","CST GmbH","Other","false","","8759"
"0017000000NfO7dAAF","Murata Manufacturing Company, Ltd. - Yasu Division","Customer","false","","442"
"0017000000NfO7eAAF","Kyocera Corporation - Yokohama R&D Center","Customer","false","","9608"
"0017000000NfO7fAAF","QualComm - Headquarters","Customer","false","","3808"
"0017000000NfO7hAAF","US Monolithics, LLC","Prospect","false","","1126"
"0017000000NfOofAAF","Kathrein - Sachsen (Burgstadt)","Customer","false","","5943"
"0017000000NfOogAAF","Kathrein Austria GmbH - Werk II Niederndorf","Customer","false","","8399"
"0017000000NfOreAAF","MicroGaN GmbH","Customer","false","","8663"
"0017000000NfOxAAAV","Ubidyne GmbH","Prospect","false","",""
"0017000000NfOznAAF","Siemens AG Medical Solutions","Customer","false","","10010007"
"0017000000NoEjZAAV","Siemens Central Research Center","Customer","false","","10010152"
"0017000000NoFLXAA3","Vega Grieshaber KG - Entwicklung Radar","Customer","false","","7680"
"0017000000NoFLYAA3","Siemens AG Austria","Customer","false","","2094"
"0017000000NoFLZAA3","RADIODATA Kommunikationstechnik GmbH","Customer","false","","9169"
"0017000000NoFLaAAN","Kapsch TrafficCom AG","Customer","false","","9190"
"0017000000NoFLbAAN","Eubus GmbH","Customer","false","","9142"
"0017000000NoFLhAAN","Finisar Germany GmbH","Customer","false","","5045"
"0017000000NoFLiAAN","Signalion","Customer","false","","8794"
"0017000000NoFLjAAN","Antenna Technology Center (Europe) ATC GmbH","Customer","false","","6983"
"0017000000NoFSoAAN","Krohne Messtechnik GmbH & Co. KG","Customer","false","","8659"
"0017000000NoFUyAAN","I.R.T. Industrial Recognition Technologies","Customer","false","","8780"
"0017000000NoFWdAAN","Ingenieurbuero Gronefeld","Customer","false","","5168"
"0017000000NoFXLAA3","Kojucharow Microwave Development and Consulting KMDC","Customer","false","","2338"
"0017000000NoFXMAA3","Infineon Technologies AG - Munich","Enterprise","false","","312"
"0017000000NoFY5AAN","Spinner GmbH","Customer","false","","8456"
"0017000000NoFZHAA3","Infineon Technologies AG - BAW development","Customer","false","",""
"0017000000NoFZIAA3","Infineon Technologies AG - AIM DS D DH - Product Development Diodes &","Customer","false","",""
