custid|custname|city|country|territory|type|status|parentid|pname
10029|Naval Research Laboratory (NRL) - Vacuum Electronics (Code 6840)|DC|US|AWR-SE|Regional Office|On Maintenance|461|Naval Research Laboratory (NRL)
10030|Anritsu Devices Co. Ltd.|Kanagawa|JP|AWR-JP|Regional Office|On Maintenance|10040023|Anritsu Corporation
10030001|Micro Linear|UT|US|AWR-SW|Enterprise|Ex-Customer|10030001|Micro Linear
10030004|Chung-Shan Institute of Science and Technology|missing|TW|AWR-NI|University|Ex-Customer|112|Chung-Shan Institute of Science and Technology (jun-06)
10030006|Jinju Industrial College - JasonTech, Inc.|Seoul|KR|AWR-NI|University|Ex-Customer|10030006|Jinju Industrial College
10030010|Wonju National University - JasonTech Inc.|Seoul|KR|AWR-NI|University|Ex-Customer|10030010|Wonju National University
10030012|University of Electronic Science & Technology|missing|HK|AWR-TSMC|Enterprise|Ex-Customer|10030012|University of Electronic Science & Technology
10030015|Lun Hwa Institute of Technology - Vanguard Information Co., Ltd.|Taipei|TW|AWR-NI|University|Ex-Customer|10030015|Lun Hwa Institute of Technology
10030016|Tatung University|Taipei|TW|AWR-NI|University|Ex-Customer|10030016|Tatung University
10030019|I-SHOU University - Vanguard Information Co., Ltd.|Taipei|TW|AWR-NI|University|Ex-Customer|10030019|I-SHOU University
10030021|Kang-Won University - JasonTech, Inc.|Seoul|KR|AWR-NI|University|Ex-Customer|10030021|Kang-Won University
10030024|Myung-Ji University - JasonTech Inc.|Seoul|KR|AWR-NI|University|Ex-Customer|10030024|Myung-Ji University
10030027|KangWon Province University|missing|KR|AWR-NI|University|Ex-Customer|10030027|KangWon Province University
10030029|AF Communicator AB (jul-05)|Solna|SE|AWR-SC|Enterprise|Off Maintenance|10030029|AF Communicator AB (jul-05)
10030031|Nam-Hae College - JasonTech, Inc.|Seoul|KR|AWR-NI|University|Ex-Customer|10030031|Nam-Hae College
10030033|Dae-Gu Information & Industrial College - JasonTech, Inc.|Seoul|KR|AWR-NI|University|Ex-Customer|10030033|Dae-Gu Information & Industrial College
10030035|Kagawa University|Kagawa|JP|NI-JP|University|Ex-Customer|10030035|Kagawa University
10030036|Chang Won University - JasonTech, Inc.|Seoul|KR|AWR-NI|University|Ex-Customer|10030036|Chang Won University
10030038|Digital Furnace|GA|US|AWR-SE|Enterprise|Ex-Customer|10030038|Digital Furnace
10030040|Anyang Scientific College - JasonTech, Inc.|Seoul|KR|AWR-NI|University|Ex-Customer|10030040|Anyang Scientific College
10030042|RC International|IA|US|WTA|Enterprise|Ex-Customer|10030042|RC International
10030045|Dong Pusan College - JasonTech, Inc.|Seoul|KR|AWR-NI|University|Ex-Customer|10030045|Dong Pusan College
10030048|Spectrum Astro|AZ|US|AWR-SW|Enterprise|Ex-Customer|10030048|Spectrum Astro
10030050|Hitachi Microsystems Europe Ltd.|Berkshire|GB|AWR-UK|Regional Office|Ex-Customer|9292|Hitachi, Ltd.
10030052|US Army Aviation and Missle Command (AMCOM) (may-02)|AL|US|AWR-SE|Enterprise|Ex-Customer|10030052|US Army Aviation and Missle Command (AMCOM) (may-02)
